"nfires","harvest","treeopen","mean","lwr","upr"
0,"unharvested","Open",60.21,54.09,67.02
1,"unharvested","Open",58.57,53.9,63.64
2,"unharvested","Open",56.97,52.86,61.39
3,"unharvested","Open",55.42,50.8,60.45
4,"unharvested","Open",53.9,48.13,60.37
5,"unharvested","Open",52.43,45.3,60.69
6,"unharvested","Open",51,42.5,61.2
7,"unharvested","Open",49.61,39.82,61.82
0,"harvested","Open",56.82,51.34,62.89
1,"harvested","Open",55.38,51.07,60.06
2,"harvested","Open",53.98,50.01,58.27
3,"harvested","Open",52.61,48.1,57.55
4,"harvested","Open",51.28,45.71,57.53
5,"harvested","Open",49.98,43.18,57.85
6,"harvested","Open",48.71,40.68,58.33
7,"harvested","Open",47.48,38.27,58.91
0,"unharvested","Tree",75.71,68.02,84.27
1,"unharvested","Tree",73.65,67.79,80.01
2,"unharvested","Tree",71.64,66.49,77.18
3,"unharvested","Tree",69.68,63.89,76
4,"unharvested","Tree",67.78,60.53,75.9
5,"unharvested","Tree",65.94,56.97,76.31
6,"unharvested","Tree",64.14,53.46,76.95
7,"unharvested","Tree",62.39,50.08,77.72
0,"harvested","Tree",71.46,64.56,79.09
1,"harvested","Tree",69.65,64.21,75.54
2,"harvested","Tree",67.88,62.88,73.28
3,"harvested","Tree",66.16,60.47,72.38
4,"harvested","Tree",64.48,57.47,72.35
5,"harvested","Tree",62.85,54.3,72.75
6,"harvested","Tree",61.26,51.15,73.36
7,"harvested","Tree",59.71,48.12,74.09
